Comment,Designator,Footprint,LCSC
"4.7u","C1","Capacitor_SMD:C_0805_2012Metric",""
"1u","C11,C12","Capacitor_SMD:C_0805_2012Metric",""
"100n","C2,C3,C4,C7,C8","Capacitor_SMD:C_0402_1005Metric",""
"1u","C6","Capacitor_SMD:C_0402_1005Metric",""
"30p","C9,C10","Capacitor_SMD:C_0402_1005Metric",""
"BLUE","D2","LED_SMD:LED_0603_1608Metric",""
"100R","FB1","Inductor_SMD:L_0603_1608Metric",""
"PinHeader-18pin","J1,J2","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical",""
"USB_B_Micro","J3","Connector_USB:USB_Micro-B_Molex_47346-0001",""
"SWD","J4","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD",""
"SolderJumper_2_Bridged","JP1","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm",""
"27n","L1","Inductor_SMD:L_0402_1005Metric",""
"10k","R1","Resistor_SMD:R_0402_1005Metric",""
"1k","R2","Resistor_SMD:R_0402_1005Metric",""
"SW_Reset","SW1","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK",""
"STM32F030C8T6","U1","Package_QFP:LQFP-48_7x7mm_P0.5mm",""
"XC6206P332MR","U2","Package_TO_SOT_SMD:SOT-23",""
"8MHz","Y1","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm",""